date,time,code,open,high,low,close,volume,amount,adjustflag
2024-07-01,20240701093500000,sh.600000,8.2200,8.2600,8.2100,8.2300,1396900,11516198.0000,3
2024-07-01,20240701094000000,sh.600000,8.2400,8.2400,8.2200,8.2400,552800,4551811.0000,3
2024-07-01,20240701094500000,sh.600000,8.2400,8.2500,8.2300,8.2400,637000,5247083.0000,3
2024-07-01,20240701095000000,sh.600000,8.2300,8.2400,8.2300,8.2300,526000,4331764.0000,3
2024-07-01,20240701095500000,sh.600000,8.2300,8.2600,8.2300,8.2500,872200,7194432.0000,3
2024-07-01,20240701100000000,sh.600000,8.2400,8.2500,8.2400,8.2500,723700,5968360.0000,3
2024-07-01,20240701100500000,sh.600000,8.2500,8.2600,8.2400,8.2500,552900,4561908.0000,3
2024-07-01,20240701101000000,sh.600000,8.2500,8.2600,8.2500,8.2600,1034300,8537468.0000,3
2024-07-01,20240701101500000,sh.600000,8.2500,8.2700,8.2500,8.2500,1377400,11378532.0000,3
2024-07-01,20240701102000000,sh.600000,8.2600,8.2700,8.2500,8.2600,470900,3888612.0000,3
2024-07-01,20240701102500000,sh.600000,8.2600,8.2700,8.2500,8.2500,395800,3268112.0000,3
2024-07-01,20240701103000000,sh.600000,8.2600,8.2600,8.2300,8.2400,1019500,8404352.0000,3
2024-07-01,20240701103500000,sh.600000,8.2300,8.2500,8.2300,8.2400,836400,6889232.0000,3
2024-07-01,20240701104000000,sh.600000,8.2400,8.2500,8.2300,8.2400,651100,5364368.0000,3
2024-07-01,20240701104500000,sh.600000,8.2400,8.2500,8.2300,8.2300,679100,5593888.0000,3
2024-07-01,20240701105000000,sh.600000,8.2300,8.2500,8.2300,8.2500,491500,4051336.0000,3
2024-07-01,20240701105500000,sh.600000,8.2500,8.2600,8.2400,8.2500,276800,2284008.0000,3
2024-07-01,20240701110000000,sh.600000,8.2500,8.2700,8.2500,8.2600,556600,4598224.0000,3
2024-07-01,20240701110500000,sh.600000,8.2600,8.2700,8.2600,8.2600,246300,2035400.0000,3
2024-07-01,20240701111000000,sh.600000,8.2600,8.2800,8.2600,8.2700,785500,6494528.0000,3
2024-07-01,20240701111500000,sh.600000,8.2700,8.2900,8.2700,8.2800,864700,7163144.0000,3
2024-07-01,20240701112000000,sh.600000,8.2800,8.3000,8.2800,8.2800,790700,6553960.0000,3
2024-07-01,20240701112500000,sh.600000,8.2900,8.2900,8.2700,8.2700,425800,3525776.0000,3
2024-07-01,20240701113000000,sh.600000,8.2700,8.2800,8.2600,8.2600,254200,2101856.0000,3
2024-07-01,20240701130500000,sh.600000,8.2600,8.2900,8.2600,8.2800,699700,5787888.0000,3
2024-07-01,20240701131000000,sh.600000,8.2800,8.2900,8.2600,8.2800,234700,1941808.0000,3
2024-07-01,20240701131500000,sh.600000,8.2800,8.2900,8.2700,8.2800,382800,3168864.0000,3
2024-07-01,20240701132000000,sh.600000,8.2800,8.2900,8.2500,8.2600,778000,6432160.0000,3
2024-07-01,20240701132500000,sh.600000,8.2500,8.2600,8.2400,8.2400,462300,3812256.0000,3
2024-07-01,20240701133000000,sh.600000,8.2500,8.2500,8.2400,8.2500,392800,3238896.0000,3
2024-07-01,20240701133500000,sh.600000,8.2500,8.2500,8.2300,8.2300,632700,5212000.0000,3
2024-07-01,20240701134000000,sh.600000,8.2300,8.2500,8.2200,8.2400,866900,7137008.0000,3
2024-07-01,20240701134500000,sh.600000,8.2400,8.2500,8.2300,8.2400,382200,3149760.0000,3
2024-07-01,20240701135000000,sh.600000,8.2500,8.2500,8.2400,8.2500,326200,2689888.0000,3
2024-07-01,20240701135500000,sh.600000,8.2500,8.2600,8.2400,8.2500,562900,4642784.0000,3
2024-07-01,20240701140000000,sh.600000,8.2500,8.2700,8.2400,8.2700,466700,3854528.0000,3
2024-07-01,20240701140500000,sh.600000,8.2700,8.2800,8.2600,8.2800,663300,5485888.0000,3
2024-07-01,20240701141000000,sh.600000,8.2700,8.2800,8.2700,8.2800,429200,3552432.0000,3
2024-07-01,20240701141500000,sh.600000,8.2700,8.2900,8.2700,8.2800,652000,5398816.0000,3
2024-07-01,20240701142000000,sh.600000,8.2800,8.2900,8.2600,8.2600,506600,4191072.0000,3
2024-07-01,20240701142500000,sh.600000,8.2600,8.2800,8.2600,8.2700,403300,3335168.0000,3
2024-07-01,20240701143000000,sh.600000,8.2800,8.2900,8.2700,8.2900,322100,2667184.0000,3
2024-07-01,20240701143500000,sh.600000,8.2900,8.2900,8.2700,8.2800,552700,4575456.0000,3
2024-07-01,20240701144000000,sh.600000,8.2800,8.2900,8.2700,8.2700,370200,3064304.0000,3
2024-07-01,20240701144500000,sh.600000,8.2700,8.2800,8.2700,8.2800,414900,3432384.0000,3
2024-07-01,20240701145000000,sh.600000,8.2800,8.2900,8.2700,8.2800,629900,5215552.0000,3
2024-07-01,20240701145500000,sh.600000,8.2900,8.3000,8.2800,8.2800,770700,6389904.0000,3
2024-07-01,20240701150000000,sh.600000,8.2800,8.2900,8.2800,8.2800,443000,3669040.0000,3
2024-07-02,20240702093500000,sh.600000,8.2700,8.3300,8.2700,8.3200,2753200,22830954.0000,3
2024-07-02,20240702094000000,sh.600000,8.3200,8.3600,8.3100,8.3600,2277400,18990462.0000,3
2024-07-02,20240702094500000,sh.600000,8.3600,8.3700,8.3300,8.3400,1310900,10951544.0000,3
2024-07-02,20240702095000000,sh.600000,8.3300,8.3900,8.3300,8.3800,2599000,21754152.0000,3
2024-07-02,20240702095500000,sh.600000,8.3800,8.4300,8.3700,8.4300,2612300,21940800.0000,3
2024-07-02,20240702100000000,sh.600000,8.4300,8.4500,8.4000,8.4500,2448900,20647344.0000,3
2024-07-02,20240702100500000,sh.600000,8.4500,8.4800,8.4300,8.4700,3592500,30361392.0000,3
2024-07-02,20240702101000000,sh.600000,8.4700,8.5100,8.4700,8.4900,4011900,34064912.0000,3
2024-07-02,20240702101500000,sh.600000,8.4900,8.5300,8.4900,8.5300,2421200,20615888.0000,3
2024-07-02,20240702102000000,sh.600000,8.5300,8.5400,8.5100,8.5200,2937100,25043232.0000,3
2024-07-02,20240702102500000,sh.600000,8.5200,8.5200,8.5000,8.5000,1281500,10904496.0000,3
2024-07-02,20240702103000000,sh.600000,8.5000,8.5100,8.4900,8.4900,937300,7968336.0000,3
2024-07-02,20240702103500000,sh.600000,8.5000,8.5000,8.4800,8.4900,801700,6808176.0000,3
2024-07-02,20240702104000000,sh.600000,8.4900,8.5100,8.4900,8.4900,1107900,9417552.0000,3
2024-07-02,20240702104500000,sh.600000,8.4900,8.5200,8.4900,8.5100,1583300,13472112.0000,3
2024-07-02,20240702105000000,sh.600000,8.5100,8.5200,8.5100,8.5200,875100,7454560.0000,3
2024-07-02,20240702105500000,sh.600000,8.5200,8.5300,8.5100,8.5200,1235500,10528608.0000,3
2024-07-02,20240702110000000,sh.600000,8.5200,8.5300,8.5100,8.5200,734700,6261632.0000,3
2024-07-02,20240702110500000,sh.600000,8.5200,8.5400,8.5100,8.5400,1358400,11581216.0000,3
2024-07-02,20240702111000000,sh.600000,8.5400,8.5400,8.5000,8.5000,495900,4226880.0000,3
2024-07-02,20240702111500000,sh.600000,8.5000,8.5100,8.4900,8.4900,399700,3397280.0000,3
2024-07-02,20240702112000000,sh.600000,8.4900,8.5000,8.4800,8.4900,352200,2989760.0000,3
2024-07-02,20240702112500000,sh.600000,8.4900,8.5000,8.4800,8.5000,450400,3822048.0000,3
2024-07-02,20240702113000000,sh.600000,8.4900,8.5000,8.4800,8.4900,226700,1924896.0000,3
2024-07-02,20240702130500000,sh.600000,8.4800,8.5100,8.4700,8.5100,1097000,9314784.0000,3
2024-07-02,20240702131000000,sh.600000,8.5100,8.5200,8.5000,8.5100,693500,5899904.0000,3
2024-07-02,20240702131500000,sh.600000,8.5100,8.5200,8.5000,8.5100,622000,5294816.0000,3
2024-07-02,20240702132000000,sh.600000,8.5000,8.5200,8.5000,8.5200,687300,5847008.0000,3
2024-07-02,20240702132500000,sh.600000,8.5100,8.5200,8.5000,8.5100,351100,2988224.0000,3
2024-07-02,20240702133000000,sh.600000,8.5100,8.5200,8.5100,8.5200,410600,3494848.0000,3
2024-07-02,20240702133500000,sh.600000,8.5200,8.5300,8.5100,8.5300,848900,7234592.0000,3
2024-07-02,20240702134000000,sh.600000,8.5300,8.5400,8.5200,8.5400,1014600,8654048.0000,3
2024-07-02,20240702134500000,sh.600000,8.5400,8.5400,8.5200,8.5200,595800,5081504.0000,3
2024-07-02,20240702135000000,sh.600000,8.5300,8.5300,8.5100,8.5100,655300,5583840.0000,3
2024-07-02,20240702135500000,sh.600000,8.5200,8.5200,8.5100,8.5200,213500,1817888.0000,3
2024-07-02,20240702140000000,sh.600000,8.5100,8.5300,8.5100,8.5200,470200,4007808.0000,3
2024-07-02,20240702140500000,sh.600000,8.5300,8.5400,8.5100,8.5100,1431900,12210176.0000,3
2024-07-02,20240702141000000,sh.600000,8.5200,8.5300,8.5100,8.5200,439200,3742560.0000,3
2024-07-02,20240702141500000,sh.600000,8.5200,8.5300,8.5200,8.5200,281300,2397824.0000,3
2024-07-02,20240702142000000,sh.600000,8.5200,8.5300,8.5200,8.5300,573500,4889664.0000,3
2024-07-02,20240702142500000,sh.600000,8.5300,8.5300,8.5100,8.5200,755900,6442976.0000,3
2024-07-02,20240702143000000,sh.600000,8.5200,8.5200,8.5100,8.5100,331400,2821984.0000,3
